Name,Symbol,ISIN,WKN,Exchange
Amundi BBB Euro Corporate Investment Grade UCITS ETF - EUR (C),CAB3,LU1681041387,A2H59E,XETR
Amundi CAC 40 UCITS ETF DR - EUR (C),GC40,LU1681046931,A2H59J,XETR
Amundi DAX 50 ESG UCITS ETF DR (C),DECD,LU2240851688,A2QGW0,XETR
Amundi ETF DAX UCITS ETF DR - EUR (C/D),CG1G,FR0010655712,A0REJQ,XETR
Amundi ETF EURO Inflation UCITS ETF DR (C),CI3G,FR0010754127,A0RNWD,XETR
Amundi ETF Govies 0-6 Months EuroMTS Investment Grade UCITS ETF DR - EUR (C),18M1,FR0010754200,A0RNWC,XETR
Amundi ETF Govt Bond EuroMTS Broad Investment Grade 1-3 UCITS ETF DR - EUR (C),18MX,FR0010754135,A0RNV6,XETR
Amundi ETF Govt Bond EuroMTS Broad Investment Grade 10-15 UCITS ETF - EUR (C),18MW,FR0010754143,A0RNWA,XETR
Amundi ETF Govt Bond EuroMTS Broad Investment Grade 3-5 UCITS ETF DR - EUR (C),18MY,FR0010754168,A0RNV7,XETR
Amundi ETF Govt Bond EuroMTS Broad Investment Grade 5-7 UCITS ETF DR - EUR (C),18MZ,FR0010754176,A0RNV8,XETR
Amundi ETF Govt Bond EuroMTS Broad Investment Grade 7-10 UCITS ETF DR - EUR (C),18M0,FR0010754184,A0RNV9,XETR
Amundi ETF MSCI Europe ex EMU UCITS ETF - EUR (C/D),540H,FR0010821819,A0YF2V,XETR
Amundi ETF MSCI Spain UCITS ETF - EUR (C/D),AMES,FR0010655746,A0REJT,XETR
Amundi ETF MSCI UK UCITS ETF - EUR (C/D),540K,FR0010655761,A0REJR,XETR
Amundi ETF MSCI World ex EMU UCITS ETF - EUR (C/D),ACM9,FR0010756114,A0RPV6,XETR
Amundi ETF STOXX Europe 50 UCITS ETF - EUR (C/D),AE50,FR0010790980,A0X9QJ,XETR
Amundi Euro Corporate 0-1Y ESG UCITS ETF DR (C) - Acc,ECR1,LU2300294316,A2QP8C,XETR
Amundi Euro Corporates UCITS ETF - EUR (C),TCC4,LU1681039647,A2H57V,XETR
Amundi Euro High Yield Liquid Bond iBoxx UCITS ETF - EUR (C),AHYE,LU1681040496,A2H580,XETR
Amundi EURO STOXX 50 UCITS ETF DR - EUR (C),V50A,LU1681047236,A2H59L,XETR
Amundi EURO STOXX 50 UCITS ETF DR - EUR (D),V50D,LU1681047319,A2H59M,XETR
Amundi Floating Rate Euro Corporate 1-3 UCITS ETF - EUR (C),FRNE,LU1681041114,A2H585,XETR
Amundi Floating Rate USD Corporate UCITS ETF - Hedged EUR (C),FRNH,LU1681041031,A2H59D,XETR
