Name,Symbol,ISIN,WKN,Exchange,UsSymbol
 INTERTAINMENT AG,ITN,DE0006223605,622360,XETR,
 KSB SE & Co. KGaA St,KSB,DE0006292006,629200,XETR,
 Sitka Gold,1RF,CA8606471065,A2JG70,XFRA,
1-800-Flowers.Com,FWC,US68243Q1067,924904,XFRA,FLWS
1+1 Drillisch AG,DRI,DE0005545503,554550,XETR,
"10X GENOMICS DL -,00001",1KJ,US88025U1097,A2PPQJ,XFRA,TXG
"11 BIT STUDIOS SA ZY -,10",11C,PL11BTS00015,A1J1ZZ,XFRA,
111 INC. ADR/2 CL.A,811A,US68247Q1022,A2N465,XFRA,YI
11880 Solutions AG,TGT,DE0005118806,511880,XETR,
"180 DEGREE CAP. DL-,01",HH20,US68235B2088,A2QQGP,XFRA,TURN
1844 RESOURCES INC.,2GSB,CA68288L1031,A2QL08,XFRA,
"1847 GOEDEKER DL-,0001",5J8,US28252C1099,A2P92X,XFRA,GOED
1933 INDUSTRIES INC.,1QF,CA65442F1053,A2N61A,XFRA,
"1SPATIAL PLC LS -,10",G7Z1,GB00BFZ45C84,A2NB01,XFRA,
1ST CONSTITUTION BANCORP,1JB,US31986N1028,A0D98F,XFRA,FCCY
"1ST HAWAIIAN INC. DL-,01",1HI,US32051X1081,A2APM9,XFRA,FHB
2020 BULKERS LTD DL 1,0FF,BMG9156K1018,A2PNW9,XFRA,
21VIANET GRP ADR A/6 O.N.,217A,US90138A1034,A1H9DT,XFRA,VNET
"22ND CENTURY GRP DL-,001",22N,US90137F1030,A1W2NQ,XFRA,XXII
"2CRSI S.A. EO-,09",52C,FR0013341781,A2JN55,XFRA,
"2CUREX AB SEK-,10",2QE,SE0010468124,A2H725,XFRA,
2G Energy AG,2GB,DE000A0HL8N9,A0HL8N,XETR,
"2MX ORGANIC EO 0,01",6ZZ,FR0014000T90,A2QKDP,XFRA,
2U Inc.,2U1,US90214J1016,A1XEYD,XFRA,TWOU
3 SIXTY RISK SOLUTIONS,62P2,CA88575W1095,A2PBNJ,XFRA,
333D LTD,OZ8,AU000000T3D6,A2AQSD,XFRA,
361 DEGREES INTL.,36L,KYG884931042,A0RPSW,XFRA,
37 CAPITAL INC.,13T,CA88429G1028,A117GC,XFRA,
3D OIL LTD,MUE,AU000000TDO8,A0MSCV,XFRA,
3D Systems Corp.,SYV,US88554D2053,888346,XETR,DDD
3i Group PLC,IGQ5,GB00B1YW4409,A0MU9Q,XFRA,
3I GROUP PLC ADR 1/2,IGQ,US88579N1054,A0YG02,XFRA,TGOPY
3M,MMM,US88579Y1010,851745,XETR,MMM
3SBio Inc.,83B,KYG8875G1029,A14T7Q,XFRA,
3U HOLDING AG,UUU,DE0005167902,516790,XETR,
49 NORTH RESOURCES INC,O49,CA34978T1030,A0N9WM,XFRA,
4BASEBIO AG NA O.N.,2INV,DE000A3H3L44,A3H3L4,XETR,
4BASEBIO UK EO 1,8L7,GB00BLD8ZL39,A255F5,XFRA,
"4D PHARMA PLC LS -,0025",4DY,GB00BJL5BR07,A1XD45,XFRA,
4D PHARMA PLC SP.ADR/8,4DY0,US35085K1097,A2QR8W,XFRA,LBPS
"4IMPRINT GRP LS-,3846",IMW,GB0006640972,916232,XFRA,
4SC AG,VSC,DE000A14KL72,A14KL7,XETR,
500.COM LTD C.A SP.ADR 10,50CA,US33829R1005,A1W8WN,XFRA,WBAI
"51 CREDIT CARD DL-,00001",2JY,KYG341531096,A2JQ4F,XFRA,
51Jobs Inc.,IWQ,US3168271043,A0DJ5H,XFRA,JOBS
5N Plus Inc.,EMB,CA33833X1015,A0NAH2,XFRA,
"5TH PLANET GAMES DK -,50",2HG1,DK0060945467,A2H8WL,XFRA,
79NORTH INC.,6120,CA81810M1014,A2QBJP,XFRA,
7C Solarparken AG,HRPK,DE000A11QW68,A11QW6,XETR,
"7DIGITAL GRP PLC LS-,0001",UZJ1,GB00BMH46555,A114V0,XFRA,
88 ENERGY LTD,POQ,AU00000088E2,A14PRT,XFRA,
"888 HOLDINGS PLC LS-,005",C8V,GI000A0F6407,A0F640,XFRA,
"8X8 DL-,001",EGT,US2829141009,907912,XFRA,EGHT
"9 METERS BIOPHARM.DL-,001",2Q3,US6544051096,A2P362,XFRA,NMTR
99 TECHNOLOGY LTD. CDI 1,99W,AU0000084477,A2P3KY,XFRA,
9F INC. ADR/1 CL.A,165,US65442R1095,A2PPT6,XFRA,165
A P MOLLER-MAERSK A,DP4A,DK0010244425,861929,XFRA,
A-CAP ENERGY LTD.,VUT,AU000000ACB7,A0JMQV,XFRA,
A-MARK PRECIOUS MET.,AND,US00181T1079,A1XEER,XFRA,AMRK
a.a.a. AG allgemeine anlageverwaltung,AAA,DE0007228009,722800,XFRA,
"A.G. BARR LS-,04167",AF72,GB00B6XZKY75,A1JXU7,XFRA,
A.H.T. SYNGAS TECH. EO 1,3SQ1,NL0010872388,A12AGY,XFRA,
a.i.s. AG,LUM,DE0006492903,649290,XFRA,
"A.I.S. RES LTD DL-,10",A8S,BS0014301076,857689,XFRA,
A.N.Z. BKG GRP ADR 1,ANB1,US0525283042,871495,XFRA,ANZBY
A.P.MOELL-M.B U.ADR 1/200,DP4H,US00202F1021,A14WZ1,XFRA,AMKBY
A.P.Moeller-Mærsk A/S B,DP4B,DK0010244508,861837,XFRA,
A.S. Création Tapeten AG,ACWN,DE000A1TNNN5,A1TNNN,XETR,
"A.S.T. GROUPE INH.EO 0,36",9NA,FR0000076887,805849,XFRA,
"A10 NETWORKS DL-,00001",8A0,US0021211018,A1XEYC,XFRA,ATEN
A2 MILK CO. LTD.,14L,NZATME0002S8,A1JB6S,XFRA,
A2A SpA,EAM,IT0001233417,915445,XFRA,
A2B AUSTRALIA LTD,A22,AU0000032187,A2PAFJ,XFRA,
A2Z SMART TECHNOLOGIES,A23,CA0022091049,A2PXH9,XFRA,
AAC ACOUSTIC TECHS.HDG.,A2XN,KYG2953R1149,A1J083,XFRA,
AAC CLYDE SPACE AB O.N.,MKC,SE0009268154,A2DG1T,XFRA,
"AAC HLDGS INC. DL -,001",A36,US0003071083,A12CY1,XFRA,
AAG Energy Holdings Ltd,AAN,KYG000371040,A14VN1,XFRA,
"AAK AB NAM. SK 1,67",6AA0,SE0011337708,A2JNX7,XFRA,
Aalberts Industries N.V.,AACA,NL0000852564,A0MQ1F,XFRA,
"AAON INC. DL-,004",AAO,US0003602069,894255,XFRA,AAON
AAP IMPLANTATE AG O.N.,AAQ1,DE000A3H2101,A3H210,XETR,
AAR,ARZ,US0003611052,862821,XFRA,AIR
Aareal Bank AG,ARL,DE0005408116,540811,XETR,
AAREAL BK AG UNSP.ADR 1,ARLB,US00254K1088,A14NAH,XFRA,AAALY
"AB DYNAMICS PLC LS -,01",6DY,GB00B9GQVG73,A1W36D,XFRA,
AB InBev SA-NV (Anheuser-Busch InBev),1NBA,BE0974293251,A2ASUV,XETR,
AB Science S.A.,A8D,FR0010557264,A1CXBG,XFRA,
ABACUS MNG,DGV2,CA0025555065,A2DQ4Z,XFRA,
ABACUS PROPERTY GRP UTS,EZO,AU000000ABP9,813933,XFRA,
ABAXX TECHNOLOGIES INC.,36N0,CA00258V1004,A2QJS6,XFRA,
ABB Ltd.,ABJ,CH0012221716,919730,XETR,
ABB Ltd. ADR,ABJA,US0003752047,675089,XFRA,ABB
ABB PAR AB B ADR/1/2/SK 1,ALZ,US0453871073,A0YGQM,XFRA,ASAZY
"ABBEY(AS.G.HLD.C.) EO-,32",DOY0,IE00BL96WS76,A2QLN9,XFRA,
Abbott Laboratories,ABL,US0028241000,850103,XETR,ABT
AbbVie Inc.,4AB,US00287Y1091,A1J84E,XETR,ABBV
"ABC ARBITRAGE POR.EO-,016",9BA,FR0004040608,924061,XFRA,
ABC TECHNOLOGIES HOLDINGS,9DK,CA00076T1057,A2QQ8S,XFRA,
ABC-MART,5B8,JP3152740001,580665,XFRA,
Abcam PLC,A8C1,GB00B6774699,A1C605,XFRA,
ABCAM PLC SP.ADR 1 LS-002,A8C3,US0003802040,A2QFYM,XFRA,ABCM
